Column1;C_n;Fai_n;e2(input);v2(output);e3;v3;e4;v4;e5;v5
;0;0;9,34034E+14;1,73176E+14;6,64906E+14;8,89264E+13;5,87408E+14;8,43823E+13;1,08104E+16;6,84537E+13
;0;0;1,46306E+16;1,77633E+14;7,35813E+14;9,67174E+13;1,16341E+16;6,75117E+13;9,883E+14;2,296E+13
;0;0;1,55377E+16;1,67706E+14;5,16136E+14;9,45314E+13;4,90146E+14;8,96159E+12;1,42366E+14;3,09712E+13
;0;0;8,13705E+14;1,74276E+14;1,11207E+16;1,85316E+14;1,04025E+16;1,49808E+13;1,45383E+16;1,36565E+13
;0;0;1,2637E+16;3,20269E+14;3,85156E+14;9,00585E+13;1,45123E+16;8,58457E+13;1,66425E+16;6,85059E+13
;0;0;1,47069E+16;1,90418E+14;7,11221E+14;1,34237E+14;3,17019E+14;2,54301E+13;1,86591E+16;5,28036E+13
;0;0;1,96304E+16;4,29222E+14;8,55462E+14;7,78397E+13;1,10855E+16;6,89859E+13;2,04835E+16;5,18489E+12
;0;0;1,67988E+16;2,48007E+14;7,25534E+14;2,87454E+13;1,30298E+16;7,89746E+13;1,64519E+16;2,32849E+13
;0;0;6,32613E+14;1,94452E+14;7,25907E+14;8,83188E+13;1,05879E+16;6,16965E+13;2,10637E+16;2,61493E+13
;0;0;1,32483E+16;1,19852E+14;4,13897E+14;6,22139E+13;6,85665E+14;2,45804E+13;2,75725E+16;3,62873E+13
;0;0;1,19936E+16;1,14681E+14;6,96735E+14;1,22892E+14;9,00283E+14;5,51486E+13;1,26249E+16;5,35987E+13
;0;0;8,65605E+14;2,4979E+14;6,18051E+14;1,10733E+14;1,8359E+16;7,33007E+13;1,07724E+16;3,02748E+13
;0;0;1,02184E+16;4,53036E+13;8,1355E+14;1,80251E+13;3,15145E+14;2,02971E+13;1,3535E+16;1,38944E+13
;0;0;2,20282E+16;2,83625E+14;9,75275E+14;1,54221E+14;1,76052E+16;6,84214E+13;1,37019E+16;6,83644E+13
;0;0;1,70852E+16;2,93896E+14;6,56909E+14;1,44104E+14;1,12835E+16;2,29187E+13;9,4261E+14;1,76902E+13
;0;0;1,10816E+16;2,65484E+14;5,24835E+14;9,73736E+13;1,45001E+14;4,8734E+13;1,39822E+16;1,40341E+13
;0;0;1,94275E+16;2,49325E+14;9,83137E+14;1,19111E+14;2,02017E+14;6,05724E+13;1,19222E+16;1,97459E+13
;0;0;5,66135E+14;4,94286E+13;4,75545E+14;1,15497E+14;1,30044E+16;8,41475E+13;1,35889E+16;1,89447E+13
;0;0;1,6088E+16;4,14996E+14;1,51928E+16;2,97224E+13;8,96539E+14;2,24325E+13;1,43636E+16;2,49694E+13
;0;0;2,24032E+16;1,99826E+14;2,49606E+14;1,23609E+14;1,36034E+14;4,13104E+13;1,1349E+16;1,81078E+13
;0;0;7,67937E+14;1,46259E+13;2,24421E+14;8,64584E+13;2,89754E+14;9,53482E+13;7,00241E+14;4,16412E+13
;0;0;1,81255E+16;2,78725E+14;3,15191E+16;1,48931E+14;3,96495E+14;6,33613E+13;9,25916E+14;1,96679E+13
;0;0;1,55616E+16;1,48327E+14;2,36001E+16;2,46924E+14;7,12323E+14;4,35169E+13;1,08137E+16;3,80661E+13
;0;0;2,46126E+16;3,53221E+14;9,19639E+14;1,01261E+14;1,59861E+16;2,37058E+13;1,68106E+16;2,2979E+13
