e2(input);v2(output)
9,34E+14;1,73E+14
0.14630584405342248;1,78E+14
0.15537727107387386;1,68E+14
8,14E+14;1,74E+14
0.12636988070967914;3,20E+14
0.14706875292305144;1,90E+14
0.19630365797341987;4,29E+14
0.16798761118365885;2,48E+14
6,33E+14;1,94E+14
0.13248316042535874;1,20E+14
0.11993640302160001;1,15E+14
8,66E+14;2,50E+14
0.10218360116006441;4,53E+13
0.22028199556400599;2,84E+14
0.17085187906531124;2,94E+14
0.11081619996601068;2,65E+14
0.19427497839628824;2,49E+14
5,66E+14;4,94E+13
0.16088047868632377;4,15E+14
0.22403174363770417;2,00E+14
7,68E+14;1,46E+13
0.18125480823506038;2,79E+14
0.15561570627661839;1,48E+14
0.24612641462599233;3,53E+14
0.15621696045247779;1,35E+14
7,15E+14;2,23E+14
5,49E+14;1,64E+14
0.17298281294922782;1,88E+14
0.21328196571215968;4,22E+14
0.11168863149652451;1,45E+14
4,55E+14;1,32E+14
0.12292374201050944;2,58E+14
0.12109766657537860;2,61E+14
5,82E+14;1,67E+14
0.12521262735913569;3,18E+14
0.12731863115968109;4,35E+14
6,33E+13;7,19E+13
0.16702710984012217;6,68E+13
0.23329388098214682;3,93E+14
0.13922978055379204;2,56E+14
0.16482849402197677;2,01E+14
9,27E+14;2,40E+14
0.23989343094622861;1,69E+14
0.12628859702823444;1,77E+14
0.21774170130433410;2,71E+14
0.12150178235853142;3,28E+14
4,45E+14;1,82E+13
0.16495515483463133;3,48E+14
0.12765008846425605;1,66E+14
5,80E+14;1,50E+13
3,75E+14;1,18E+14
0.14304910636191018;2,74E+14
5,48E+13;1,16E+14
0.34718123305417670;5,24E+14
0.16934759865259522;3,16E+14
9,53E+14;1,03E+14
0.11160168026110841;1,90E+14
0.15011124174050616;1,36E+14
0.18495286911733921;3,04E+14
0.12839928620672819;6,95E+13
0.25878611389086997;2,61E+14
8,87E+14;1,58E+14
6,90E+14;1,25E+14
9,70E+14;2,00E+14
0.13092360594173319;1,35E+14
4,67E+14;1,05E+14
8,78E+14;6,11E+13
0.11700895906913816;3,62E+14
0.16505779351328412;2,25E+14
0.17841230999240751;3,63E+14
0.16802780375147497;3,22E+14
0.17054414926666578;3,00E+14
0.14955099747109238;1,21E+14
0.11750995261552427;1,56E+14
0.15029303470554681;1,92E+14
3,51E+14;1,40E+14
5,67E+14;1,56E+14
9,44E+14;2,85E+14
4,86E+14;3,23E+13
0.12036309656294951;3,14E+14
0.17790703888289439;3,25E+14
5,06E+14;1,34E+14
8,98E+14;3,05E+14
4,49E+14;9,39E+13
0.14814511682741269;3,46E+14
7,56E+14;5,50E+13
4,43E+14;1,13E+14
0.10989843970093667;1,18E+14
2,78E+14;1,50E+14
0.24769836705669573;3,77E+14
0.17197000624440459;9,13E+13
0.10772668412705526;3,29E+14
0.18214846765951107;4,05E+14
3,97E+14;3,41E+13
9,35E+14;1,79E+14
0.13969132454037980;1,34E+14
5,27E+14;1,83E+14
0.10357284178878333;2,53E+14
0.24692750396803001;4,26E+14
0.15669799736982487;3,25E+14
0.24970349320050933;5,11E+14
0.16550876278855625;3,08E+14
0.15565232163019818;7,83E+13
7,87E+14;2,43E+14
0.10508813765812483;3,47E+13
0.13734146765148744;2,28E+14
0.15665441108794470;1,48E+14
0.17528758824905802;1,32E+14
0.23999411955909747;2,47E+14
0.12485550562644934;5,02E+13
0.21357604957803200;3,46E+14
0.15067834585129936;3,37E+14
4,02E+14;1,00E+14
0.14175576632289502;1,38E+14
0.19971916822290253;1,19E+14
0.13615810024970001;2,46E+14
0.14627996288532649;1,15E+14
4,43E+14;2,39E+14
0.17049387669523017;3,03E+14
7,12E+14;7,29E+13
0.17429785213675617;2,58E+14
0.14427570796593292;2,73E+14
0.17718276236737646;3,30E+14
0.22650636143784553;4,04E+14
0.11869058931712165;2,84E+14
7,33E+14;8,14E+13
0.13721757535368256;3,14E+14
9,70E+14;2,02E+14
0.25168321026047730;3,47E+14
0.12027986048756990;2,72E+14
0.13627961977144945;2,09E+14
0.13418315642867748;2,91E+14
0.16414883883016648;2,47E+14
2,83E+14;1,36E+14
0.15536246371097329;8,50E+13
1,89E+14;2,10E+14
0.16428116991994343;1,09E+14
0.30556402857789516;4,04E+14
0.18683835861913314;3,79E+14
8,89E+14;1,12E+14
3,90E+14;1,24E+14
0.17329674259598846;1,07E+14
0.18502593494905012;2,95E+14
7,52E+14;2,27E+14
5,68E+14;2,17E+13
0.17157912998241734;4,40E+14
0.17805114693393978;4,24E+14
0.11679062623315890;9,23E+13
0.13939644898655557;3,18E+14
0.13786246734688243;2,18E+14
7,12E+14;1,66E+14
5,16E+14;4,10E+13
7,13E+14;3,72E+14
8,48E+14;2,67E+14
5,66E+14;1,95E+14
0.20130055654492018;1,80E+14
7,87E+14;1,67E+14
0.18985625293595967;1,70E+14
7,66E+14;7,85E+13
0.27580516272546768;3,71E+14
0.13908256673004857;1,94E+14
8,44E+14;1,14E+14
0.12833876785525727;9,32E+13
0.10122662643464764;1,96E+14
7,69E+14;2,02E+14
0.18337144807863195;2,70E+14
2,04E+14;8,97E+13
8,58E+14;7,75E+13
3,58E+14;1,33E+14
0.14724250467065478;9,21E+13
7,26E+14;1,69E+14
0.14644902578879263;2,98E+14
0.10163933654035480;2,98E+14
9,20E+14;1,94E+14
5,08E+14;1,15E+14
9,05E+14;9,06E+13
5,07E+14;5,16E+13
3,20E+14;1,89E+14
0.12754860593209885;2,35E+14
8,82E+14;1,93E+14
9,07E+14;2,18E+14
5,02E+14;1,70E+14
3,78E+14;4,27E+13
0.15011174054740939;2,53E+14
0.15675931983938504;2,41E+14
0.25398170662593567;4,47E+14
0.18776206477375190;2,18E+14
0.22873971445424277;4,81E+14
0.14760261597822930;2,49E+14
7,96E+14;2,82E+14
0.14419462520988269;2,88E+14
0.13411070651774129;1,95E+14
4,86E+14;1,92E+14
3,38E+14;1,78E+14
8,59E+14;2,25E+14
0.12958917772737227;2,01E+14
1,47E+14;1,11E+14
0.15975109930804463;1,67E+14
0.17810483925409573;3,12E+14
0.16627453963188993;2,20E+14
3,74E+14;2,75E+14
2,52E+14;3,44E+14
8,82E+14;1,24E+14
2,19E+14;1,14E+14
0.23664740044645116;4,89E+14
0.20488645876515493;2,69E+14
0.20613249627134902;1,81E+14
7,83E+14;9,14E+13
6,32E+14;1,91E+14
0.14328753832079108;1,24E+14
0.11411470850010672;9,56E+13
0.15388257617865159;3,73E+14
0.15058228875988444;2,44E+14
4,46E+14;4,32E+13
0.10736302937693031;1,45E+14
0.10737805947618380;5,90E+13
0.13032844756795145;1,75E+14
0.19156987929845540;3,75E+14
2,81E+14;6,93E+13
0.13806194484817852;2,01E+14
8,95E+14;5,91E+13
0.18107610457578183;3,52E+14
0.26807528168393269;2,84E+14
0.16873049850526955;1,61E+14
0.10237502821825246;1,61E+14
0.14565473246988489;2,71E+13
0.17385865451107263;2,13E+14
0.11280094345605957;1,40E+14
8,35E+14;3,60E+14
0.17295251317649196;1,90E+14
0.10201159036060599;2,06E+14
0.13458592649813450;8,47E+13
0.10131422559793560;7,79E+13
6,77E+14;1,02E+14
0.14203461484489882;1,38E+14
0.16969130229366203;2,81E+14
5,04E+14;1,84E+14
3,75E+14;9,60E+13
0.17065827752605456;2,74E+14
4,87E+14;4,96E+13
7,77E+14;2,56E+13
0.13232091871319263;2,41E+14
0.13270518644244453;1,92E+13
3,66E+14;1,20E+14
0.11673636736872518;3,30E+13
9,67E+14;2,05E+14
3,18E+14;2,35E+14
0.16100069999437747;3,42E+14
3,88E+14;3,51E+14
0.20543706014742219;2,55E+14
9,69E+14;1,08E+14
8,34E+14;3,52E+13
9,53E+14;1,03E+14
5,73E+14;7,29E+13
7,95E+14;1,51E+14
9,14E+14;1,10E+14
0.17304149487226031;1,93E+14
0.18823225210056335;2,65E+14
0.10044244158792033;2,34E+14
0.11945769548034017;1,91E+14
7,23E+14;2,05E+14
2,78E+14;1,79E+14
8,94E+14;2,08E+14
4,63E+14;2,02E+14
5,63E+14;6,75E+13
4,03E+14;2,09E+14
0.18844276997403381;3,50E+14
8,95E+14;2,68E+14
8,79E+14;1,98E+13
0.16184192898764976;1,02E+14
0.17385937897412373;2,23E+14
0.20958173196008309;3,45E+14
6,15E+14;2,12E+14
0.15206751705645211;2,97E+14
3,21E+14;1,30E+14
0.10937658751443551;1,18E+14
0.10457428995601641;5,50E+13
0.11129034392848750;2,39E+14
8,55E+14;9,98E+13
0.21610457181055204;2,49E+14
0.13759234722643734;2,67E+14
9,69E+14;6,94E+13
0.16597667024759544;2,61E+14
8,87E+14;2,59E+14
8,27E+14;1,06E+14
5,38E+14;1,35E+14
0.12133203595128907;1,50E+14
7,60E+14;1,83E+14
0.10131320592651233;2,83E+14
0.19910713615958769;2,68E+14
0.14843242661663023;1,37E+14
0.21963574484850149;4,36E+14
8,09E+14;1,89E+14
0.27568839654202348;4,62E+14
0.15502404815201323;2,67E+14
2,77E+14;6,60E+13
0.22208008551871025;3,42E+14
0.11501449987261989;1,29E+14
0.15118208948418083;4,25E+14
0.11376310007707394;9,32E+13
0.15253060697155871;2,23E+14
7,65E+14;5,58E+13
8,65E+14;1,64E+14
0.10803268165465953;2,92E+14
0.12776995406007968;2,53E+14
0.12164351232765803;8,80E+13
0.15111138034347785;2,26E+14
0.10735926244744198;2,07E+14
7,83E+13;1,20E+14
6,93E+14;1,41E+14
0.13515056767853878;2,33E+14
0.21253316057622618;3,26E+14
9,38E+14;2,99E+14
0.11032630350042222;2,08E+14
8,51E+14;1,56E+14
8,05E+14;3,71E+13
5,10E+14;1,18E+14
8,40E+14;2,89E+14
0.14478066802542325;1,51E+14
1,82E+14;8,65E+13
7,81E+14;1,72E+14
0.14046075135027858;3,38E+14
6,89E+14;1,08E+14
7,10E+14;8,39E+13
0.15617907842483664;1,39E+14
0.17009736352448263;2,65E+14
0.23033535006966982;4,24E+14
0.16147145324188650;2,35E+14
0.17201485368984934;3,27E+14
0.15890211763935860;2,31E+14
5,47E+14;7,35E+13
6,59E+14;1,36E+14
6,34E+14;8,07E+13
6,22E+14;2,45E+14
0.10140261320687778;1,30E+14
0.17427800221712617;2,80E+14
0.22335172071918472;1,47E+14
6,22E+14;1,57E+14
6,99E+14;1,52E+14
0.16291087878434468;2,01E+14
8,46E+14;1,05E+14
7,67E+14;9,26E+13
0.20444326818860142;1,08E+14
0.14067269602025323;1,59E+14
0.21080628948784999;4,17E+14
0.17997056117751542;1,28E+14
0.19451282231975622;1,60E+14
0.15714160143221514;1,34E+14
0.12658905628700831;3,61E+14
0.10783720551536638;2,25E+14
0.10003990266272442;2,17E+14
2,66E+14;5,50E+13
5,88E+14;1,25E+14
9,22E+13;1,91E+14
0.15436029403559448;2,47E+14
0.11726797019152098;2,35E+14
0.19225677649669437;2,01E+14
0.16592881166758669;3,10E+14
0.11483248578143269;3,32E+14
0.12323568546746465;9,22E+13
1,81E+14;8,06E+13
8,83E+14;8,63E+13
4,14E+14;9,99E+13
5,76E+14;2,32E+14
0.20221492972883839;4,79E+14
6,49E+14;8,71E+12
0.10131514754091336;1,76E+14
5,00E+14;4,51E+13
1,79E+14;3,57E+13
9,75E+14;8,06E+13
0.21519921581395995;3,35E+14
0.21163115541340036;2,58E+14
0.11035800580174288;1,41E+14
6,89E+14;2,70E+14
1,18E+14;2,16E+14
0.15424167636002190;1,50E+14
0.10747227004894910;1,25E+14
0.10793714988269026;1,63E+14
0.22548313632471620;3,98E+14
4,83E+14;3,11E+14
7,12E+14;2,07E+14
0.15007785424972775;2,31E+14
0.20411793759359445;1,81E+14
7,00E+14;2,30E+14
0.16897413011235465;3,19E+14
0.13252708420221851;2,97E+14
0.11767007787387276;1,25E+14
3,34E+14;4,84E+13
0.24123846165914592;1,57E+14
1,12E+14;6,60E+13
0.17246696845656204;4,94E+14
0.10906369785522968;1,65E+14
9,98E+14;1,45E+14
0.16205987586075732;3,04E+14
9,98E+14;2,78E+14
5,72E+14;1,62E+14
8,03E+14;7,49E+13
1,77E+14;5,85E+13
8,75E+14;1,17E+14
0.24878617430916367;3,95E+14
0.11403076275216487;1,63E+14
5,95E+14;6,27E+13
0.10108152753858041;2,48E+14
8,50E+14;3,61E+13
0.21192874932475469;3,52E+14
0.12967432590863207;1,11E+14
0.10207305140177340;2,27E+14
4,12E+14;3,91E+13
0.10154606542984761;2,66E+14
0.16022062638739770;3,52E+14
8,40E+14;1,92E+14
7,31E+14;6,29E+13
0.12727184711848577;1,96E+14
2,62E+14;1,56E+14
5,24E+14;3,26E+14
5,31E+14;1,29E+14
0.13122901513349708;3,97E+14
0.10017751120401633;2,26E+14
7,55E+14;5,14E+13
0.11600923618333112;4,26E+13
0.15654529091704181;2,45E+14
7,74E+14;1,38E+14
2,99E+14;8,42E+13
8,40E+14;1,06E+14
0.21004263584059404;2,77E+14
0.11396562402671449;7,78E+13
2,81E+14;1,10E+14
6,57E+14;2,15E+14
0.14624469666478268;1,07E+13
3,68E+14;3,13E+14
0.11194542525281015;2,15E+14
0.20338826807516242;8,09E+13
0.12980039197015580;3,26E+14
0.14657422937317441;1,15E+14
