C_n;Fai_n;e2(input);v2(output);e3;v3;e4;v4;e5;v5
0.0000000000000000;0.0000000000000000;9,34E+14;1,73E+14;6,65E+14;8,89E+13;5,87E+14;8,44E+13;0.10810417855539843;6,85E+13
0.0000000000000000;0.0000000000000000;0.14630584405342248;1,78E+14;7,36E+14;9,67E+13;0.11634054530514090;6,75E+13;9,88E+14;2,30E+13
0.0000000000000000;0.0000000000000000;0.15537727107387386;1,68E+14;5,16E+14;9,45E+13;4,90E+14;8,96E+12;1,42E+14;3,10E+13
0.0000000000000000;0.0000000000000000;8,14E+14;1,74E+14;0.11120674370311967;1,85E+14;0.10402536414696772;1,50E+13;0.14538328877849732;1,37E+13
0.0000000000000000;0.0000000000000000;0.12636988070967914;3,20E+14;3,85E+14;9,01E+13;0.14512270858011161;8,58E+13;0.16642528650794691;6,85E+13
0.0000000000000000;0.0000000000000000;0.14706875292305144;1,90E+14;7,11E+14;1,34E+14;3,17E+14;2,54E+13;0.18659139812242820;5,28E+13
0.0000000000000000;0.0000000000000000;0.19630365797341987;4,29E+14;8,55E+14;7,78E+13;0.11085473225094186;6,90E+13;0.20483462503487987;5,18E+12
0.0000000000000000;0.0000000000000000;0.16798761118365885;2,48E+14;7,26E+14;2,87E+13;0.13029768575946252;7,90E+13;0.16451904315186075;2,33E+13
0.0000000000000000;0.0000000000000000;6,33E+14;1,94E+14;7,26E+14;8,83E+13;0.10587940046088720;6,17E+13;0.21063685287896486;2,61E+13
0.0000000000000000;0.0000000000000000;0.13248316042535874;1,20E+14;4,14E+14;6,22E+13;6,86E+14;2,46E+13;0.27572462095929873;3,63E+13
0.0000000000000000;0.0000000000000000;0.11993640302160001;1,15E+14;6,97E+14;1,23E+14;9,00E+14;5,51E+13;0.12624883438625756;5,36E+13
0.0000000000000000;0.0000000000000000;8,66E+14;2,50E+14;6,18E+14;1,11E+14;0.18359042820804522;7,33E+13;0.10772449556604875;3,03E+13
0.0000000000000000;0.0000000000000000;0.10218360116006441;4,53E+13;8,14E+14;1,80E+13;3,15E+14;2,03E+13;0.13535009440504966;1,39E+13
0.0000000000000000;0.0000000000000000;0.22028199556400599;2,84E+14;9,75E+14;1,54E+14;0.17605154115984697;6,84E+13;0.13701934215745384;6,84E+13
0.0000000000000000;0.0000000000000000;0.17085187906531124;2,94E+14;6,57E+14;1,44E+14;0.11283493852412609;2,29E+13;9,43E+14;1,77E+13
0.0000000000000000;0.0000000000000000;0.11081619996601068;2,65E+14;5,25E+14;9,74E+13;1,45E+14;4,87E+13;0.13982235327422918;1,40E+13
0.0000000000000000;0.0000000000000000;0.19427497839628824;2,49E+14;9,83E+14;1,19E+14;2,02E+14;6,06E+13;0.11922172478604162;1,97E+13
0.0000000000000000;0.0000000000000000;5,66E+14;4,94E+13;4,76E+14;1,15E+14;0.13004365332088033;8,41E+13;0.13588925458952003;1,89E+13
0.0000000000000000;0.0000000000000000;0.16088047868632377;4,15E+14;0.15192812117524057;2,97E+13;8,97E+14;2,24E+13;0.14363600010601646;2,50E+13
0.0000000000000000;0.0000000000000000;0.22403174363770417;2,00E+14;2,50E+14;1,24E+14;1,36E+14;4,13E+13;0.11348990538630374;1,81E+13
0.0000000000000000;0.0000000000000000;7,68E+14;1,46E+13;2,24E+14;8,65E+13;2,90E+14;9,53E+13;7,00E+14;4,16E+13
0.0000000000000000;0.0000000000000000;0.18125480823506038;2,79E+14;0.31519086785781492;1,49E+14;3,96E+14;6,34E+13;9,26E+14;1,97E+13
0.0000000000000000;0.0000000000000000;0.15561570627661839;1,48E+14;0.23600104372213168;2,47E+14;7,12E+14;4,35E+13;0.10813716109745186;3,81E+13
0.0000000000000000;0.0000000000000000;0.24612641462599233;3,53E+14;9,20E+14;1,01E+14;0.15986121308813711;2,37E+13;0.16810636916344604;2,30E+13
0.0000000000000000;0.0000000000000000;0.15621696045247779;1,35E+14;0.10325410932886414;3,35E+13;0.10121203277104265;5,56E+13;0.13621338108421732;6,79E+13
0.0000000000000000;0.0000000000000000;7,15E+14;2,23E+14;0.12830706947452303;6,91E+13;4,12E+14;1,59E+13;9,51E+14;3,95E+13
0.0000000000000000;0.0000000000000000;5,49E+14;1,64E+14;0.15825263923286267;1,51E+13;0.10561582706270782;8,22E+13;0.15271370308405105;4,95E+13
0.0000000000000000;0.0000000000000000;0.17298281294922782;1,88E+14;9,35E+14;1,29E+14;0.17239702957133179;6,81E+13;0.13698185738134661;1,18E+13
0.0000000000000000;0.0000000000000000;0.21328196571215968;4,22E+14;4,54E+14;9,70E+13;6,74E+14;7,26E+12;9,19E+14;3,02E+13
0.0000000000000000;0.0000000000000000;0.11168863149652451;1,45E+14;7,70E+14;6,54E+13;7,26E+14;5,56E+13;8,46E+14;5,51E+13
0.0000000000000000;0.0000000000000000;4,55E+14;1,32E+14;0.16880048957967289;1,29E+14;0.17693942600079759;7,10E+13;0.12010977747098833;2,63E+13
0.0000000000000000;0.0000000000000000;0.12292374201050944;2,58E+14;0.10340587932063729;1,12E+14;0.29359340578092025;5,59E+13;0.20055196823404442;1,82E+13
0.0000000000000000;0.0000000000000000;0.12109766657537860;2,61E+14;0.15467397813672060;1,94E+14;0.10825718758762699;6,23E+13;8,76E+14;3,70E+13
0.0000000000000000;0.0000000000000000;5,82E+14;1,67E+14;7,81E+14;4,23E+13;0.11324987122095037;2,13E+12;0.12421348776126663;8,70E+12
0.0000000000000000;0.0000000000000000;0.12521262735913569;3,18E+14;0.25060063158171819;2,16E+14;0.11628965319157679;9,67E+13;0.14280751862832841;2,27E+13
0.0000000000000000;0.0000000000000000;0.12731863115968109;4,35E+14;0.12604576982758697;1,72E+14;0.18550673127938819;1,25E+14;0.13128434083177201;1,33E+13
0.0000000000000000;0.0000000000000000;6,33E+13;7,19E+13;0.12883711151297139;1,59E+14;0.12252937343801328;6,43E+13;7,25E+14;5,00E+13
0.0000000000000000;0.0000000000000000;0.16702710984012217;6,68E+13;0.18935329267099590;2,13E+14;0.12443832887601528;1,26E+14;0.25491643768945182;3,06E+13
0.0000000000000000;0.0000000000000000;0.23329388098214682;3,93E+14;8,64E+14;1,32E+14;8,89E+14;2,77E+13;0.19560216738154010;3,80E+13
0.0000000000000000;0.0000000000000000;0.13922978055379204;2,56E+14;3,82E+14;2,92E+13;3,41E+14;4,89E+13;0.19546269496783231;4,16E+13
0.0000000000000000;0.0000000000000000;0.16482849402197677;2,01E+14;0.11936086380593751;9,67E+13;8,12E+14;6,95E+13;0.18192974697076639;9,82E+12
0.0000000000000000;0.0000000000000000;9,27E+14;2,40E+14;0.13411669599231058;2,02E+14;8,49E+14;4,75E+13;6,51E+14;2,00E+13
0.0000000000000000;0.0000000000000000;0.23989343094622861;1,69E+14;4,28E+14;1,43E+14;6,07E+14;1,13E+14;6,00E+14;4,72E+13
0.0000000000000000;0.0000000000000000;0.12628859702823444;1,77E+14;0.18647787894495707;1,52E+14;9,88E+14;6,72E+13;0.13302146829786488;3,29E+13
0.0000000000000000;0.0000000000000000;0.21774170130433410;2,71E+14;0.10148103868904138;7,92E+13;0.10530061883823551;1,09E+14;0.12329415979384722;5,34E+13
0.0000000000000000;0.0000000000000000;0.12150178235853142;3,28E+14;0.22598517102772356;8,10E+13;0.15523313313450432;8,17E+13;0.26184686193905476;5,58E+13
0.0000000000000000;0.0000000000000000;4,45E+14;1,82E+13;0.15091758866580096;2,02E+14;0.15708723536168903;1,51E+14;0.12035072713746828;3,59E+13
0.0000000000000000;0.0000000000000000;0.16495515483463133;3,48E+14;5,81E+14;1,23E+14;6,69E+14;2,32E+13;0.19747116505961976;3,63E+13
0.0000000000000000;0.0000000000000000;0.12765008846425605;1,66E+14;0.19701394998777899;1,66E+14;0.14054604470891904;5,45E+13;8,19E+14;1,28E+13
0.0000000000000000;0.0000000000000000;5,80E+14;1,50E+13;0.25162584281649375;1,77E+14;0.20297024438292607;1,02E+14;6,44E+14;3,28E+13
0.0000000000000000;0.0000000000000000;3,75E+14;1,18E+14;0.15386714224212272;1,91E+14;2,64E+14;3,45E+13;8,40E+14;3,13E+13
0.0000000000000000;0.0000000000000000;0.14304910636191018;2,74E+14;0.15064927667772185;5,32E+13;3,02E+14;5,70E+13;0.20172508409962328;5,97E+13
0.0000000000000000;0.0000000000000000;5,48E+13;1,16E+14;0.13198682766361194;6,70E+13;9,06E+14;6,63E+13;9,66E+14;5,26E+13
0.0000000000000000;0.0000000000000000;0.34718123305417670;5,24E+14;4,20E+14;9,08E+13;4,17E+14;5,28E+13;0.17274424808418756;5,24E+13
0.0000000000000000;0.0000000000000000;0.16934759865259522;3,16E+14;0.10344619150378939;1,04E+14;0.10973110413615586;4,05E+13;0.34718205835479254;5,27E+13
0.0000000000000000;0.0000000000000000;9,53E+14;1,03E+14;0.15629893940582937;1,04E+14;9,59E+14;5,34E+13;8,36E+14;2,05E+13
0.0000000000000000;0.0000000000000000;0.11160168026110841;1,90E+14;2,40E+14;7,61E+13;9,48E+14;7,64E+13;0.16300422460585914;3,30E+13
0.0000000000000000;0.0000000000000000;0.15011124174050616;1,36E+14;7,77E+14;9,30E+13;0.16405631104165097;7,21E+13;8,40E+14;6,22E+12
0.0000000000000000;0.0000000000000000;0.18495286911733921;3,04E+14;0.14976824196391961;1,50E+14;5,26E+14;6,39E+13;0.15832582984554511;1,84E+13
0.0000000000000000;0.0000000000000000;0.12839928620672819;6,95E+13;0.13840563445361023;9,49E+13;0.16485314183387448;1,40E+14;0.13478168946858460;4,46E+13
0.0000000000000000;0.0000000000000000;0.25878611389086997;2,61E+14;3,66E+14;1,27E+14;6,07E+14;4,17E+13;0.11262114601074914;4,69E+13
0.0000000000000000;0.0000000000000000;8,87E+14;1,58E+14;0.14737551152727651;1,09E+14;4,07E+14;7,41E+13;0.20783976667119317;1,20E+13
0.0000000000000000;0.0000000000000000;6,90E+14;1,25E+14;0.17702020040261091;2,20E+14;4,47E+14;3,72E+13;0.10671627229849315;1,52E+13
0.0000000000000000;0.0000000000000000;9,70E+14;2,00E+14;0.19906196909492482;1,87E+14;0.10018223599332308;6,81E+13;0.24608344994967998;3,56E+13
0.0000000000000000;0.0000000000000000;0.13092360594173319;1,35E+14;0.13713578365816920;7,46E+13;0.12232271378526730;1,08E+14;0.13402457533869352;1,62E+13
0.0000000000000000;0.0000000000000000;4,67E+14;1,05E+14;0.17024594426183393;1,50E+14;0.12191707570169903;2,19E+13;0.15727881193025178;1,41E+13
0.0000000000000000;0.0000000000000000;8,78E+14;6,11E+13;0.13855570139818554;1,60E+14;0.10200017611957038;7,46E+13;0.27897455537944088;2,88E+13
0.0000000000000000;0.0000000000000000;0.11700895906913816;3,62E+14;0.11427100135453729;4,95E+13;0.12985500232778849;3,63E+13;8,20E+14;1,49E+13
0.0000000000000000;0.0000000000000000;0.16505779351328412;2,25E+14;7,08E+14;3,89E+13;0.12301191075137173;7,52E+13;5,91E+14;4,03E+13
0.0000000000000000;0.0000000000000000;0.17841230999240751;3,63E+14;7,35E+14;2,80E+13;4,04E+14;5,91E+13;0.11094705690074730;3,47E+13
0.0000000000000000;0.0000000000000000;0.16802780375147497;3,22E+14;0.14303652628519578;1,60E+14;7,43E+14;5,02E+13;3,60E+14;3,42E+13
0.0000000000000000;0.0000000000000000;0.17054414926666578;3,00E+14;0.10633857475537657;1,30E+14;0.16302550069760285;3,60E+13;0.10640807902119873;2,80E+13
0.0000000000000000;0.0000000000000000;0.14955099747109238;1,21E+14;0.22105033711253935;1,09E+14;0.13091346680384697;3,40E+13;0.13100499421422404;3,76E+13
0.0000000000000000;0.0000000000000000;0.11750995261552427;1,56E+14;0.18991615947759102;1,02E+14;0.21809473181275854;1,54E+14;0.17666842134637858;3,59E+13
