C_n;Fai_n;e2(input);v2(output);e3;v3;e4;v4;e5;v5
0;0;9,34E+14;1,73E+14;6,65E+14;8,89E+13;5,87E+14;8,44E+13;1,08E+16;6,85E+13
0;0;1,46E+16;1,78E+14;7,36E+14;9,67E+13;1,16E+16;6,75E+13;9,88E+14;2,30E+13
0;0;1,55E+16;1,68E+14;5,16E+14;9,45E+13;4,90E+14;8,96E+12;1,42E+14;3,10E+13
0;0;8,14E+14;1,74E+14;1,11E+16;1,85E+14;1,04E+16;1,50E+13;1,45E+16;1,37E+13
0;0;1,26E+16;3,20E+14;3,85E+14;9,01E+13;1,45E+16;8,58E+13;1,66E+16;6,85E+13
0;0;1,47E+16;1,90E+14;7,11E+14;1,34E+14;3,17E+14;2,54E+13;1,87E+16;5,28E+13
0;0;1,96E+16;4,29E+14;8,55E+14;7,78E+13;1,11E+16;6,90E+13;2,05E+16;5,18E+12
0;0;1,68E+16;2,48E+14;7,26E+14;2,87E+13;1,30E+16;7,90E+13;1,65E+16;2,33E+13
0;0;6,33E+14;1,94E+14;7,26E+14;8,83E+13;1,06E+16;6,17E+13;2,11E+16;2,61E+13
0;0;1,32E+16;1,20E+14;4,14E+14;6,22E+13;6,86E+14;2,46E+13;2,76E+16;3,63E+13
0;0;1,20E+16;1,15E+14;6,97E+14;1,23E+14;9,00E+14;5,51E+13;1,26E+16;5,36E+13
0;0;8,66E+14;2,50E+14;6,18E+14;1,11E+14;1,84E+16;7,33E+13;1,08E+16;3,03E+13
0;0;1,02E+16;4,53E+13;8,14E+14;1,80E+13;3,15E+14;2,03E+13;1,35E+16;1,39E+13
0;0;2,20E+16;2,84E+14;9,75E+14;1,54E+14;1,76E+16;6,84E+13;1,37E+16;6,84E+13
0;0;1,71E+16;2,94E+14;6,57E+14;1,44E+14;1,13E+16;2,29E+13;9,43E+14;1,77E+13
0;0;1,11E+16;2,65E+14;5,25E+14;9,74E+13;1,45E+14;4,87E+13;1,40E+16;1,40E+13
0;0;1,94E+16;2,49E+14;9,83E+14;1,19E+14;2,02E+14;6,06E+13;1,19E+16;1,97E+13
0;0;5,66E+14;4,94E+13;4,76E+14;1,15E+14;1,30E+16;8,41E+13;1,36E+16;1,89E+13
0;0;1,61E+16;4,15E+14;1,52E+16;2,97E+13;8,97E+14;2,24E+13;1,44E+16;2,50E+13
0;0;2,24E+16;2,00E+14;2,50E+14;1,24E+14;1,36E+14;4,13E+13;1,13E+16;1,81E+13
0;0;7,68E+14;1,46E+13;2,24E+14;8,65E+13;2,90E+14;9,53E+13;7,00E+14;4,16E+13
0;0;1,81E+16;2,79E+14;3,15E+16;1,49E+14;3,96E+14;6,34E+13;9,26E+14;1,97E+13
0;0;1,56E+16;1,48E+14;2,36E+16;2,47E+14;7,12E+14;4,35E+13;1,08E+16;3,81E+13
0;0;2,46E+16;3,53E+14;9,20E+14;1,01E+14;1,60E+16;2,37E+13;1,68E+16;2,30E+13
0;0;1,56E+16;1,35E+14;1,03E+16;3,35E+13;1,01E+16;5,56E+13;1,36E+16;6,79E+13
0;0;7,15E+14;2,23E+14;1,28E+16;6,91E+13;4,12E+14;1,59E+13;9,51E+14;3,95E+13
0;0;5,49E+14;1,64E+14;1,58E+16;1,51E+13;1,06E+16;8,22E+13;1,53E+16;4,95E+13
0;0;1,73E+16;1,88E+14;9,35E+14;1,29E+14;1,72E+16;6,81E+13;1,37E+16;1,18E+13
0;0;2,13E+16;4,22E+14;4,54E+14;9,70E+13;6,74E+14;7,26E+12;9,19E+14;3,02E+13
0;0;1,12E+16;1,45E+14;7,70E+14;6,54E+13;7,26E+14;5,56E+13;8,46E+14;5,51E+13
0;0;4,55E+14;1,32E+14;1,69E+16;1,29E+14;1,77E+16;7,10E+13;1,20E+16;2,63E+13
0;0;1,23E+16;2,58E+14;1,03E+16;1,12E+14;2,94E+16;5,59E+13;2,01E+16;1,82E+13
0;0;1,21E+16;2,61E+14;1,55E+16;1,94E+14;1,08E+16;6,23E+13;8,76E+14;3,70E+13
0;0;5,82E+14;1,67E+14;7,81E+14;4,23E+13;1,13E+16;2,13E+12;1,24E+16;8,70E+12
0;0;1,25E+16;3,18E+14;2,51E+16;2,16E+14;1,16E+16;9,67E+13;1,43E+16;2,27E+13
0;0;1,27E+16;4,35E+14;1,26E+16;1,72E+14;1,86E+16;1,25E+14;1,31E+16;1,33E+13
0;0;6,33E+13;7,19E+13;1,29E+16;1,59E+14;1,23E+16;6,43E+13;7,25E+14;5,00E+13
