C_n,Fai_n,e2(input),v2(output),e3,v3,e4,v4,e5,v5
0,0,9.34E-02,1.73E-02,6.65E-02,8.89E-03,5.87E-02,8.44E-03,0.108104179,6.85E-03
0,0,0.146305844,1.78E-02,7.36E-02,9.67E-03,0.116340545,6.75E-03,9.88E-02,2.30E-03
0,0,0.155377271,1.68E-02,5.16E-02,9.45E-03,4.90E-02,8.96E-04,1.42E-02,3.10E-03
0,0,8.14E-02,1.74E-02,0.111206744,1.85E-02,0.104025364,1.50E-03,0.145383289,1.37E-03
0,0,0.126369881,3.20E-02,3.85E-02,9.01E-03,0.145122709,8.58E-03,0.166425287,6.85E-03
0,0,0.147068753,1.90E-02,7.11E-02,1.34E-02,3.17E-02,2.54E-03,0.186591398,5.28E-03
0,0,0.196303658,4.29E-02,8.55E-02,7.78E-03,0.110854732,6.90E-03,0.204834625,5.18E-04
0,0,0.167987611,2.48E-02,7.26E-02,2.87E-03,0.130297686,7.90E-03,0.164519043,2.33E-03
0,0,6.33E-02,1.94E-02,7.26E-02,8.83E-03,0.1058794,6.17E-03,0.210636853,2.61E-03
0,0,0.13248316,1.20E-02,4.14E-02,6.22E-03,6.86E-02,2.46E-03,0.275724621,3.63E-03
0,0,0.119936403,1.15E-02,6.97E-02,1.23E-02,9.00E-02,5.51E-03,0.126248834,5.36E-03
0,0,8.66E-02,2.50E-02,6.18E-02,1.11E-02,0.183590428,7.33E-03,0.107724496,3.03E-03
0,0,0.102183601,4.53E-03,8.14E-02,1.80E-03,3.15E-02,2.03E-03,0.135350094,1.39E-03
0,0,0.220281996,2.84E-02,9.75E-02,1.54E-02,0.176051541,6.84E-03,0.137019342,6.84E-03
0,0,0.170851879,2.94E-02,6.57E-02,1.44E-02,0.112834939,2.29E-03,9.43E-02,1.77E-03
0,0,0.1108162,2.65E-02,5.25E-02,9.74E-03,1.45E-02,4.87E-03,0.139822353,1.40E-03
0,0,0.194274978,2.49E-02,9.83E-02,1.19E-02,2.02E-02,6.06E-03,0.119221725,1.97E-03
0,0,5.66E-02,4.94E-03,4.76E-02,1.15E-02,0.130043653,8.41E-03,0.135889255,1.89E-03
0,0,0.160880479,4.15E-02,0.151928121,2.97E-03,8.97E-02,2.24E-03,0.143636,2.50E-03
0,0,0.224031744,2.00E-02,2.50E-02,1.24E-02,1.36E-02,4.13E-03,0.113489905,1.81E-03
0,0,7.68E-02,1.46E-03,2.24E-02,8.65E-03,2.90E-02,9.53E-03,7.00E-02,4.16E-03
0,0,0.181254808,2.79E-02,0.315190868,1.49E-02,3.96E-02,6.34E-03,9.26E-02,1.97E-03
0,0,0.155615706,1.48E-02,0.236001044,2.47E-02,7.12E-02,4.35E-03,0.108137161,3.81E-03
0,0,0.246126415,3.53E-02,9.20E-02,1.01E-02,0.159861213,2.37E-03,0.168106369,2.30E-03
0,0,0.15621696,1.35E-02,0.103254109,3.35E-03,0.101212033,5.56E-03,0.136213381,6.79E-03
0,0,7.15E-02,2.23E-02,0.128307069,6.91E-03,4.12E-02,1.59E-03,9.51E-02,3.95E-03
0,0,5.49E-02,1.64E-02,0.158252639,1.51E-03,0.105615827,8.22E-03,0.152713703,4.95E-03
0,0,0.172982813,1.88E-02,9.35E-02,1.29E-02,0.17239703,6.81E-03,0.136981857,1.18E-03
0,0,0.213281966,4.22E-02,4.54E-02,9.70E-03,6.74E-02,7.26E-04,9.19E-02,3.02E-03
0,0,0.111688631,1.45E-02,7.70E-02,6.54E-03,7.26E-02,5.56E-03,8.46E-02,5.51E-03
0,0,4.55E-02,1.32E-02,0.16880049,1.29E-02,0.176939426,7.10E-03,0.120109777,2.63E-03
